listing_id,neighbourhood_name,property_type,room_type,accommodates,bathrooms,bedrooms,beds,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version
50924870,Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,,,2,5,False,False,1,2.0,2.0,283.0,446.0,1687.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50930117,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.5,1.0,,,6,16,False,False,1,13.0,13.0,254.76923076923077,612.0,215.0,0,0.0,6.0,16.0,0,0.0,6.0,16.0,30,0,0.0,1,2026-04-11,v1_student
50948870,Centrum-Oost,Entire home,Entire home/apt,4,2.0,3.0,,,3,5,False,False,1,0.0,0.0,,,-1.0,0,0.0,3.0,5.0,0,0.0,3.0,5.0,30,0,0.0,1,2026-04-11,v1_student
50967357,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,3,1.5,1.0,,,3,23,False,False,1,8.0,8.0,290.5,411.0,740.0,0,0.0,4.0,23.0,0,0.0,4.0,23.0,30,0,0.0,1,2026-04-11,v1_student
50987627,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,170.0,3,20,False,False,1,0.0,0.0,,,-1.0,0,0.0,3.0,20.0,0,0.0,3.0,20.0,30,0,0.0,1,2026-04-11,v1_student
50991113,Bos en Lommer,Entire rental unit,Entire home/apt,2,1.5,1.0,2.0,153.0,3,15,False,False,1,1.0,1.0,307.0,307.0,462.0,0,0.0,3.0,15.0,0,0.0,3.0,15.0,30,0,0.0,1,2026-04-11,v1_student
50997803,De Baarsjes - Oud-West,Entire condo,Entire home/apt,3,1.5,2.0,1.0,350.0,3,365,False,False,1,21.0,21.0,364.42857142857144,1050.0,304.0,69,0.7582417582417582,3.0,365.0,31,1.0,3.0,365.0,30,30,1.0,0,2026-04-11,v1_student
51022024,Watergraafsmeer,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,110.0,3,365,False,False,1,12.0,12.0,303.9166666666667,955.0,273.0,50,0.5494505494505495,3.0,365.0,0,0.0,3.0,365.0,30,0,0.0,1,2026-04-11,v1_student
51035287,Centrum-West,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,600.0,1,1125,False,False,1,16.0,16.0,316.625,771.0,357.0,91,1.0,1.0,1125.0,31,1.0,1.0,1125.0,30,19,0.6333333333333333,0,2026-04-11,v1_student
51052223,Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,,,5,31,False,False,1,15.0,15.0,378.1333333333333,1124.0,554.0,0,0.0,5.0,31.0,0,0.0,5.0,31.0,30,0,0.0,1,2026-04-11,v1_student
51053578,Westerpark,Entire condo,Entire home/apt,2,1.0,1.0,,,3,28,False,False,1,8.0,8.0,289.0,571.0,1127.0,0,0.0,3.0,28.0,0,0.0,3.0,28.0,30,0,0.0,1,2026-04-11,v1_student
51055965,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4,1.5,2.0,,,3,365,False,False,1,5.0,5.0,392.0,846.0,1084.0,0,0.0,1.8571428571428572,365.0,0,0.0,1.870967741935484,365.0,30,0,0.0,1,2026-04-11,v1_student
51061195,Westerpark,Entire rental unit,Entire home/apt,2,1.0,1.0,,,4,14,False,False,1,9.0,9.0,221.33333333333334,405.0,831.0,0,0.0,4.0,14.0,0,0.0,4.0,14.0,30,0,0.0,1,2026-04-11,v1_student
51062932,De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,2,1.0,1.0,,,3,360,True,False,1,8.0,8.0,134.375,287.0,1411.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
51076561,De Aker - Nieuw Sloten,Entire rental unit,Entire home/apt,2,1.0,,,,2,30,False,False,1,9.0,9.0,252.55555555555554,1009.0,685.0,0,0.0,2.0,30.0,0,0.0,2.0,30.0,30,0,0.0,1,2026-04-11,v1_student
51081470,De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.0,1.0,,,7,1125,False,False,1,12.0,12.0,349.75,916.0,320.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
51116938,De Baarsjes - Oud-West,Entire loft,Entire home/apt,2,1.0,1.0,,,3,3,False,False,1,32.0,32.0,268.875,712.0,223.0,0,0.0,3.0,3.0,0,0.0,3.0,3.0,30,0,0.0,1,2026-04-11,v1_student
51119975,Oostelijk Havengebied - Indische Buurt,Entire rental unit,Entire home/apt,4,1.0,2.0,,,3,30,True,False,1,3.0,3.0,286.6666666666667,456.0,1694.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-04-11,v1_student
51123644,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,,,3,15,False,False,1,5.0,5.0,251.4,803.0,1338.0,0,0.0,3.0,15.0,0,0.0,3.0,15.0,30,0,0.0,1,2026-04-11,v1_student
51123840,De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.0,1.0,,,2,30,False,False,1,6.0,6.0,214.83333333333334,916.0,529.0,0,0.0,2.0,30.0,0,0.0,2.0,30.0,30,0,0.0,1,2026-04-11,v1_student
51140438,De Baarsjes - Oud-West,Entire townhouse,Entire home/apt,2,1.0,1.0,1.0,250.0,10,30,False,False,1,9.0,9.0,294.1111111111111,571.0,325.0,91,1.0,10.0,30.0,31,1.0,10.0,30.0,30,30,1.0,0,2026-04-11,v1_student
